MovieName,Year
Mouna Guru,2011
7 Aum Arivu,2011
Vaagai Sooda Vaa,2011
Mankatha,2011
Kanchana: Muni 2,2011
Deiva Thirumagal,2011
Vaanam,2011
Ko,2011
Payanam,2011
Yutham Sei,2011
Aadukalam,2011
Naduvula Konjam Pakkatha Kaanom,2012
Thuppakki,2012
Pizza,2012
Naan,2012
The Fly,2012
Kalakalappu,2012
Vazhakku Enn 18/9,2012
Kumki,2012
Neethaane En Ponvasantham,2012
Thalaimuraigal,2013
Biriyani,2013
Ivan Veramaathiri,2013
Kalyana Samayal Saadham,2013
Irandam Ulagam,2013
Pandiya Naadu,2013
Arrambam,2013
Onaayum Aattukkuttiyum,2013
Raja Rani,2013
6 Candles,2013
Moodar Koodam,2013
Varuthapadatha Valibar Sangam,2013
Thanga Meengal,2013
Aadhalal Kadhal Seiveer,2013
Maryan,2013
Singam 2,2013
Theeya Velai Seiyyanum Kumaru,2013
Neram,2013
Soodhu Kavvum,2013
Ethir Neechal,2013
Kedi Billa Killadi Ranga,2013
Paradesi,2013
Kaakkaa Muttai,2014
Kayal,2014
Pisasu,2014
Lingaa,2014
Kaaviya Thalaivan,2014
Kaththi,2014
Jeeva,2014
Madras,2014
Kathai Thiraikathai Vasanam Iyakkam,2014
Jigarthanda,2014
Velaiilla Pattadhari,2014
Sathuranga Vettai,2014
Saivam,2014
Mundaasupatti,2014
Kochadaiiyaan,2014
Cuckoo,2014
Thegidi,2014
Pannaiyarum Padminiyum,2014
Goli Soda,2014
Veeram,2014
Rajini Murugan,2015
Visaaranai,2015
Pasanga 2,2015
Thoongaavanam,2015
Naanum Rowdy Thaan,2015
Kuttram Kadithal,2015
Kirumi,2015
Maya,2015
Thani Oruvan,2015
Papanasam,2015
Indru Netru Naalai,2015
Demonte Colony,2015
36 Vayadhinile,2015
Uttama Villain,2015
Kanchana 2,2015
OK Kanmani,2015
Rajathandhiram,2015
Enakkul Oruvan,2015
Press 1 for Tamil,2015
Yennai Arindhaal,2015
I,2015
Dhuruvangal Pathinaaru,2016
Chennai 600028 Second Innings,2016
Achcham Yenbadhu Madamaiyada,2016
Ammani,2016
Aandavan Kattalai,2016
Kuttrame Thandanai,2016
Dharmadurai,2016
Joker,2016
Kabali,2016
Metro,2016
Iraivi,2016
Uriyadi,2016
24,2016
Theri,2016
Oopiri,2016
Kadhalum Kadanthu Pogum,2016
Pichaikkaran,2016
Saala Khadoos,2016
Crime 23,2017
Muthuramalingam,2017
Dream Factory,2017
Yaman,2017
Ennodu Vilayadu,2017
Kadhal Kan Kattudhe,2017
Pagadi Aattam,2017
Rum,2017
Singam 3,2017
Bogan,2017
Enakku Vaaitha Adimaigal,2017
Koditta Idangalai Nirappuga,2017
Adhe Kangal,2017
Bairavaa,2017
Lens,2017
Aruvi,2017
Ulkuththu,2017
Balloon,2017
Kalavaadiya Pozhuthugal,2017
Velaikkaran,2017
Sakka Podu Podu Raja,2017
Bhrama.com,2017
Chennai 2 Singapore,2017
12-12-1950,2017
Kodiveeran,2017
Richie,2017
Annadurai,2017
